Key            Name:Suffix                                Trend Definitions Used
Point_1:	CP2.CHOAT		15 minutes
Point_2:	CCHWST		15 minutes
Point_3:	CCHWRT		15 minutes
Point_4:	CP2.CH1.M5		15 minutes
Point_5:	CP2.CH2.M10		15 minutes
Point_6:	CP2.CHWP1		15 minutes
Point_7:	CP2.CHWP2		15 minutes
Point_8:	CP2.CHWP3		15 minutes
Point_9:	CDWST		15 minutes
Point_10:	CDWRT		15 minutes
Point_11:	SQ1.CP2.CDWST.STPT		15 minutes
Point_12:	SQ1.CP2.CT2.SPD		15 minutes
Point_13:	SQ1.CP2.CT1.SPD		15 minutes
Point_14:	CP2.CNDP1		15 minutes
Point_15:	CP2.CNDP2		15 minutes
Point_16:	CP2.CNDP3		15 minutes
Time Interval:	1 Hours
Date Range:	1/1/2022 00:00:00 - 8/18/2022 23:59:59
Report Timings:	All Hours

<>Date	Time	Point_1	Point_2	Point_3	Point_4	Point_5	Point_6	Point_7	Point_8	Point_9	Point_10	Point_11	Point_12	Point_13	Point_14	Point_15	Point_16
1/1/2022	00:00:00	40.09	62.13	61.73	OFF	OFF	OFF	OFF	OFF	50.4	59.86	47.0	20.0	20.0	OFF	OFF	OFF
1/1/2022	01:00:00	40.09	63.98	63.21	OFF	OFF	OFF	OFF	OFF	50.8	60.66	47.0	20.0	20.0	OFF	OFF	OFF
1/1/2022	02:00:00	40.09	65.84	64.50	OFF	OFF	OFF	OFF	OFF	51.2	61.46	47.0	20.0	20.0	OFF	OFF	OFF
1/1/2022	03:00:00	40.09	67.56	65.58	OFF	OFF	OFF	OFF	OFF	51.5	62.21	47.0	20.0	20.0	OFF	OFF	OFF
1/1/2022	04:00:00	40.09	69.36	66.47	OFF	OFF	OFF	OFF	OFF	51.8	62.90	47.0	20.0	20.0	OFF	OFF	OFF
1/1/2022	05:00:00	40.09	71.29	67.10	OFF	OFF	OFF	OFF	OFF	52.0	63.53	47.0	20.0	20.0	OFF	OFF	OFF
1/1/2022	06:00:00	40.09	72.66	67.60	OFF	OFF	OFF	OFF	OFF	52.3	64.15	47.0	20.0	20.0	OFF	OFF	OFF
1/1/2022	07:00:00	39.09	73.85	68.03	OFF	OFF	OFF	OFF	OFF	52.4	64.74	47.0	20.0	20.0	OFF	OFF	OFF
1/1/2022	08:00:00	37.08	51.83	60.18	OFF	OFF	ON	OFF	OFF	46.6	57.39	47.0	91.1	91.1	ON	OFF	OFF
1/1/2022	09:00:00	37.08	48.56	51.38	OFF	OFF	ON	OFF	OFF	46.9	51.81	47.0	42.8	42.8	ON	OFF	OFF
1/1/2022	10:00:00	38.09	48.56	51.24	OFF	OFF	ON	OFF	OFF	47.0	51.75	47.0	42.0	42.0	ON	OFF	OFF
1/1/2022	11:00:00	38.09	49.35	53.16	OFF	OFF	ON	OFF	OFF	47.1	52.91	47.0	52.5	52.5	ON	OFF	OFF
1/1/2022	12:00:00	37.08	49.01	52.66	OFF	OFF	ON	OFF	OFF	46.9	52.57	47.0	46.7	46.7	ON	OFF	OFF
1/1/2022	13:00:00	37.08	49.01	52.68	OFF	OFF	ON	OFF	OFF	47.0	52.59	47.0	45.1	45.1	ON	OFF	OFF
