<>Date,Time,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52
1/1/2022,0:00:00,39.82,69.89,64.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.42,No Data,0,0,0,0,0,0,0,0
1/1/2022,1:00:00,39.97,70.51,65.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.64,No Data,0,0,0,0,0,0,0,0
1/1/2022,2:00:00,39.94,71.06,66.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.89,No Data,0,0,0,0,0,0,0,0
1/1/2022,3:00:00,40.57,71.47,67.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.03,No Data,0,0,0,0,0,0,0,0
1/1/2022,4:00:00,39.99,71.86,67.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.25,No Data,0,0,0,0,0,0,0,0
1/1/2022,5:00:00,40.31,72.18,68.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.39,No Data,0,0,0,0,0,0,0,0
1/1/2022,6:00:00,39.84,72.52,68.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.57,No Data,0,0,0,0,0,0,0,0
1/1/2022,7:00:00,39.08,72.77,69.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.79,No Data,0,0,0,0,0,0,0,0
1/1/2022,8:00:00,37.07,58.32,66.47,0,0,0,0,0,0,0,0,0,0,0,0,93.48,93.48,0,0,35,15.3,0,0,0,0,0,100,0,100,42,0,44.8,100,100,0,0,0,43.05,0,13.7,0,13.7,57.85,No Data,0,0,0,0,0,0,0,0
1/1/2022,9:00:00,37.36,50.72,55.04,0,0,0,0,0,0,0,0,0,0,0,0,52.59,52.59,0,0,35,2.7,2.7,0,0,0,0,99.99,0,99.99,43,0,44.7,100,100,0,0,0,46.24,0,16.9,0,17.1,46.69,No Data,0,0,0,0,0,0,0,0
1/1/2022,10:00:00,38.12,49.26,52.95,0,0,0,0,0,0,0,0,0,0,0,0,52.51,52.51,0,0,35,2.6,2.7,0,0,0,0,88.88,0,88.88,30,0,32.3,100,100,0,0,0,45.18,0,16.1,0,16.1,45.03,No Data,0,0,0,0,0,0,0,0
1/1/2022,11:00:00,37.91,51.88,57.13,0,0,0,0,0,0,0,0,0,0,0,0,61.23,61.23,0,0,35,4.4,4.1,0,0,0,0,100,0,100,42,0,45.1,100,100,0,0,0,48.7,0,20.5,0,20.5,48.02,No Data,0,0,0,0,0,0,0,0
1/1/2022,12:00:00,37.11,51.55,56.98,0,0,0,0,0,0,0,0,0,0,0,0,61.23,61.23,0,0,35,4.4,4.2,0,0,0,0,100,0,100,42,0,44.9,100,100,0,0,0,48.51,0,19.7,0,19.7,47.8,No Data,0,0,0,0,0,0,0,0
1/1/2022,13:00:00,36.79,50.65,56.1,0,0,0,0,0,0,0,0,0,0,0,0,61.23,61.23,0,0,35,4.4,4.2,0,0,0,0,99.99,0,99.99,42,0,44.9,100,100,0,0,0,47.78,0,19,0,19,46.9,No Data,0,0,0,0,0,0,0,0
1/1/2022,14:00:00,36.91,50.43,55.74,0,0,0,0,0,0,0,0,0,0,0,0,61.2,61.21,0,0,35,4.4,4.2,0,0,0,0,94.49,0,94.49,36,0,38.2,100,100,0,0,0,48.22,0,19.5,0,19.5,46.4,No Data,0,0,0,0,0,0,0,0
1/1/2022,15:00:00,36.18,50.34,55.63,0,0,0,0,0,0,0,0,0,0,0,0,61.16,61.16,0,0,35,4.4,4.1,0,0,0,0,82.97,0,82.97,25,0,26.2,100,100,0,0,0,47.75,0,18.5,0,18.5,46.36,No Data,0,0,0,0,0,0,0,0
1/1/2022,16:00:00,35.3,50.27,55.63,0,0,0,0,0,0,0,0,0,0,0,0,61.18,61.18,0,0,35,4.4,4.1,0,0,0,0,78.15,0,78.15,21,0,22.4,100,100,0,0,0,47.87,0,19.1,0,19.1,46.4,No Data,0,0,0,0,0,0,0,0
1/1/2022,17:00:00,34.6,50.42,55.76,0,0,0,0,0,0,0,0,0,0,0,0,61.26,61.26,0,0,35,4.4,4.2,0,0,0,0,74.51,0,74.51,18,0,19.2,100,100,0,0,0,47.81,0,18.8,0,18.8,46.62,No Data,0,0,0,0,0,0,0,0
1/1/2022,18:00:00,34,50.37,55.58,0,0,0,0,0,0,0,0,0,0,0,0,61.16,61.16,0,0,35,4.4,4.1,0,0,0,0,69.1,0,69.1,15,0,15.7,100,100,0,0,0,48.13,0,19.4,0,19.4,46.4,No Data,0,0,0,0,0,0,0,0
1/1/2022,19:00:00,33.12,54.88,54.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.25,No Data,0,0,0,0,0,0,0,0
1/1/2022,20:00:00,30.97,58.22,54.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.82,No Data,0,0,0,0,0,0,0,0
1/1/2022,21:00:00,29.62,61.12,54.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.06,No Data,0,0,0,0,0,0,0,0
1/1/2022,22:00:00,28.43,62.74,55.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.53,No Data,0,0,0,0,0,0,0,0
1/1/2022,23:00:00,27.08,64.22,57.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.42,No Data,0,0,0,0,0,0,0,0
1/2/2022,0:00:00,26.61,65.22,58.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.68,No Data,0,0,0,0,0,0,0,0
1/2/2022,1:00:00,25.75,66.21,60.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.86,No Data,0,0,0,0,0,0,0,0
1/2/2022,2:00:00,26.33,67.07,61.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.04,No Data,0,0,0,0,0,0,0,0
1/2/2022,3:00:00,26.24,67.79,62.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.18,No Data,0,0,0,0,0,0,0,0
1/2/2022,4:00:00,24.63,68.34,63.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.32,No Data,0,0,0,0,0,0,0,0
1/2/2022,5:00:00,23.71,68.86,63.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43,No Data,0,0,0,0,0,0,0,0
