DateTime,SQ1_CP1_DF_OAT,1CHWR
1/1/2022 0:00:00,39.82,64.83
1/1/2022 1:00:00,39.97,65.62
1/1/2022 2:00:00,39.94,66.31
1/1/2022 3:00:00,40.57,67.14
1/1/2022 4:00:00,39.99,67.57
1/1/2022 5:00:00,40.31,68.11
1/1/2022 6:00:00,39.84,68.63
1/1/2022 7:00:00,39.08,69.13
1/1/2022 8:00:00,37.07,66.47
1/1/2022 9:00:00,37.36,55.04
1/1/2022 10:00:00,38.12,52.95
1/1/2022 11:00:00,37.91,57.13
1/1/2022 12:00:00,37.11,56.98
1/1/2022 13:00:00,36.79,56.1
1/1/2022 14:00:00,36.91,55.74
1/1/2022 15:00:00,36.18,55.63
1/1/2022 16:00:00,35.3,55.63
1/1/2022 17:00:00,34.6,55.76
1/1/2022 18:00:00,34,55.58
1/1/2022 19:00:00,33.12,54.25
1/1/2022 20:00:00,30.97,54.75
1/1/2022 21:00:00,29.62,54.97
1/1/2022 22:00:00,28.43,55.99
1/1/2022 23:00:00,27.08,57.36
1/2/2022 0:00:00,26.61,58.62
1/2/2022 1:00:00,25.75,60.1
1/2/2022 2:00:00,26.33,61.14
1/2/2022 3:00:00,26.24,62.22
1/2/2022 4:00:00,24.63,63.19
1/2/2022 5:00:00,23.71,63.84
1/2/2022 6:00:00,21.9,64.81
1/2/2022 7:00:00,20.4,65.32
1/2/2022 8:00:00,19.21,65.93
1/2/2022 9:00:00,17.91,66.51
1/2/2022 10:00:00,17.26,58.89
1/2/2022 11:00:00,18.09,56.05
1/2/2022 12:00:00,18.31,56.66
1/2/2022 13:00:00,20.35,55.9
1/2/2022 14:00:00,20.98,56.7
1/2/2022 15:00:00,21.24,57.31
1/2/2022 16:00:00,21.07,56.21
1/2/2022 17:00:00,20.38,56.79
1/2/2022 18:00:00,20.13,57.83
1/2/2022 19:00:00,18.53,55.81
1/2/2022 20:00:00,16.92,55.36
1/2/2022 21:00:00,15.55,56.34
1/2/2022 22:00:00,14.13,56.16
1/2/2022 23:00:00,13.62,56.59
1/3/2022 0:00:00,12.82,57.52
1/3/2022 1:00:00,12.26,58.73
1/3/2022 2:00:00,11.6,59.63
1/3/2022 3:00:00,10.8,60.85
1/3/2022 4:00:00,9.6,61.86
1/3/2022 5:00:00,9.14,62.58
1/3/2022 6:00:00,8.77,63.45
1/3/2022 7:00:00,8.18,64.09
1/3/2022 8:00:00,7.36,58.75
1/3/2022 9:00:00,8.27,54.36
1/3/2022 10:00:00,10.51,54
1/3/2022 11:00:00,12.9,54.43
1/3/2022 12:00:00,15.72,55.13
1/3/2022 13:00:00,17.89,55.24
1/3/2022 14:00:00,21.78,55.27
1/3/2022 15:00:00,21.07,56.64
1/3/2022 16:00:00,21.83,57.36
1/3/2022 17:00:00,20.38,55.89
1/3/2022 18:00:00,20.03,56.37
1/3/2022 19:00:00,20.02,56.41
1/3/2022 20:00:00,19.47,55.26
1/3/2022 21:00:00,19.81,54.82
1/3/2022 22:00:00,20.44,55
1/3/2022 23:00:00,20.4,56.08
1/4/2022 0:00:00,20.5,58.55
1/4/2022 1:00:00,19.68,59.85
1/4/2022 2:00:00,21.8,61.05
1/4/2022 3:00:00,23.21,62.2
1/4/2022 4:00:00,23.08,63.14
1/4/2022 5:00:00,23.4,63.93
1/4/2022 6:00:00,23.04,64.83
1/4/2022 7:00:00,22.83,65.3
1/4/2022 8:00:00,22.57,65.95
1/4/2022 9:00:00,22.89,60.04
1/4/2022 10:00:00,25.64,55.62
1/4/2022 11:00:00,27.21,55
1/4/2022 12:00:00,30.54,55
1/4/2022 13:00:00,34.25,54.93
1/4/2022 14:00:00,36.25,55.15
1/4/2022 15:00:00,37.23,55.4
1/4/2022 16:00:00,36.17,55.51
1/4/2022 17:00:00,34.14,55.29
1/4/2022 18:00:00,33.41,55.18
1/4/2022 19:00:00,33.15,54.86
1/4/2022 20:00:00,32.55,54.57
1/4/2022 21:00:00,32.59,55.33
1/4/2022 22:00:00,33.27,55.18
1/4/2022 23:00:00,33.38,56.19
1/5/2022 0:00:00,33.5,58.73
1/5/2022 1:00:00,34,60.17
1/5/2022 2:00:00,33.99,61.43
1/5/2022 3:00:00,34.71,62.65
1/5/2022 4:00:00,34.87,63.73
1/5/2022 5:00:00,35.52,64.74
1/5/2022 6:00:00,38.12,65.64
1/5/2022 7:00:00,38.38,66.43
1/5/2022 8:00:00,39.01,67.19
1/5/2022 9:00:00,39.56,60.21
1/5/2022 10:00:00,38.8,57.33
1/5/2022 11:00:00,38.32,56.5
1/5/2022 12:00:00,38.42,56.17
1/5/2022 13:00:00,38.26,56.21
1/5/2022 14:00:00,37.02,56.19
1/5/2022 15:00:00,35.87,55.85
1/5/2022 16:00:00,37.13,55.63
1/5/2022 17:00:00,34.14,55.26
1/5/2022 18:00:00,32.53,55.47
1/5/2022 19:00:00,31.37,55.22
1/5/2022 20:00:00,29.36,54.82
1/5/2022 21:00:00,27.57,54.97
1/5/2022 22:00:00,26.5,57.02
1/5/2022 23:00:00,24.76,59.14
1/6/2022 0:00:00,23.14,60.84
1/6/2022 1:00:00,21.83,62.35
1/6/2022 2:00:00,20.53,63.54
1/6/2022 3:00:00,20.53,64.65
1/6/2022 4:00:00,20.13,65.59
1/6/2022 5:00:00,20.03,66.34
1/6/2022 6:00:00,19.42,67.03
1/6/2022 7:00:00,18.82,67.46
1/6/2022 8:00:00,20.09,67.82
1/6/2022 9:00:00,20.58,60.71
1/6/2022 10:00:00,22.21,55.99
1/6/2022 11:00:00,23.89,55.42
1/6/2022 12:00:00,25.41,56.01
1/6/2022 13:00:00,26.47,55.26
1/6/2022 14:00:00,26.48,55.65
1/6/2022 15:00:00,25.86,55.72
1/6/2022 16:00:00,24.82,55.98
1/6/2022 17:00:00,24.45,55.65
1/6/2022 18:00:00,23.73,55.81
1/6/2022 19:00:00,23.05,56.82
1/6/2022 20:00:00,22.43,56.28
1/6/2022 21:00:00,22.62,56.21
1/6/2022 22:00:00,22.74,57.4
1/6/2022 23:00:00,22.68,59.74
1/7/2022 0:00:00,22.78,61.21
1/7/2022 1:00:00,22.74,62.69
1/7/2022 2:00:00,22.1,63.81
1/7/2022 3:00:00,21.55,64.81
1/7/2022 4:00:00,20.69,65.75
1/7/2022 5:00:00,17.9,66.43
1/7/2022 6:00:00,15.7,66.94
1/7/2022 7:00:00,14.73,67.41
1/7/2022 8:00:00,13.73,67.95
1/7/2022 9:00:00,14.34,59.94
1/7/2022 10:00:00,15.16,56.3
1/7/2022 11:00:00,16.76,54.46
1/7/2022 12:00:00,17.83,54.75
1/7/2022 13:00:00,18.24,56.16
1/7/2022 14:00:00,19.2,54.46
1/7/2022 15:00:00,19.34,55.22
1/7/2022 16:00:00,18.24,56.52
1/7/2022 17:00:00,17.07,55
1/7/2022 18:00:00,15.9,55.8
1/7/2022 19:00:00,15.35,54.64
1/7/2022 20:00:00,14.65,54.99
1/7/2022 21:00:00,13.25,55.31
1/7/2022 22:00:00,12.92,55.81
1/7/2022 23:00:00,12.51,56.93
1/8/2022 0:00:00,12.05,58.98
1/8/2022 1:00:00,10.87,60.21
1/8/2022 2:00:00,9.03,61.36
1/8/2022 3:00:00,8.13,62.37
1/8/2022 4:00:00,7.54,63.3
1/8/2022 5:00:00,8.05,64.13
1/8/2022 6:00:00,8.52,64.81
1/8/2022 7:00:00,8.61,65.35
1/8/2022 8:00:00,8.93,59.09
1/8/2022 9:00:00,10.76,53.56
1/8/2022 10:00:00,16.18,52.2
1/8/2022 11:00:00,19.96,54.1
1/8/2022 12:00:00,22.83,55.33
1/8/2022 13:00:00,24.05,54.21
1/8/2022 14:00:00,25.85,55.15
1/8/2022 15:00:00,27.94,55.15
1/8/2022 16:00:00,28.82,56.23
1/8/2022 17:00:00,28.05,55.35
1/8/2022 18:00:00,28.19,55.89
1/8/2022 19:00:00,29.44,56.14
1/8/2022 20:00:00,30.45,56.14
1/8/2022 21:00:00,30.95,56.57
1/8/2022 22:00:00,31.85,58.01
1/8/2022 23:00:00,32.29,60.55
1/9/2022 0:00:00,32.93,62.1
1/9/2022 1:00:00,33.78,63.46
1/9/2022 2:00:00,33.45,64.58
1/9/2022 3:00:00,34.08,65.48
1/9/2022 4:00:00,34.21,66.38
1/9/2022 5:00:00,34.5,67.21
1/9/2022 6:00:00,34.76,67.75
1/9/2022 7:00:00,35.97,68.22
1/9/2022 8:00:00,37.34,68.68
1/9/2022 9:00:00,38.51,72.21
1/9/2022 10:00:00,38.99,61.05
1/9/2022 11:00:00,38.93,58.5
1/9/2022 12:00:00,38.1,57.45
1/9/2022 13:00:00,35.39,56.48
1/9/2022 14:00:00,34.47,55.98
1/9/2022 15:00:00,33.72,56.26
1/9/2022 16:00:00,33.11,56.12
1/9/2022 17:00:00,31.79,56.01
1/9/2022 18:00:00,27.11,55.98
1/9/2022 19:00:00,25.02,55.54
1/9/2022 20:00:00,23.21,55.99
1/9/2022 21:00:00,22.39,55.89
1/9/2022 22:00:00,21.34,56.43
1/9/2022 23:00:00,20.33,57.69
1/10/2022 0:00:00,19.46,58.84
1/10/2022 1:00:00,17.91,60.31
1/10/2022 2:00:00,16.52,61.32
1/10/2022 3:00:00,16.1,62.33
1/10/2022 4:00:00,16.08,63.3
1/10/2022 5:00:00,15.93,64.17
1/10/2022 6:00:00,15.66,64.89
1/10/2022 7:00:00,15.25,65.61
1/10/2022 8:00:00,14.92,66.18
1/10/2022 9:00:00,15.85,64.22
1/10/2022 10:00:00,16.29,55.38
1/10/2022 11:00:00,16.5,54.45
1/10/2022 12:00:00,16.83,53.33
1/10/2022 13:00:00,16.76,54.95
1/10/2022 14:00:00,16.94,54.59
1/10/2022 15:00:00,16.71,54.46
1/10/2022 16:00:00,15.72,56.3
1/10/2022 17:00:00,14.55,58.42
1/10/2022 18:00:00,14.04,62.89
1/10/2022 19:00:00,13.76,73.81
1/10/2022 20:00:00,12.28,74.64
1/10/2022 21:00:00,10.76,75
1/10/2022 22:00:00,8.91,75.79
1/10/2022 23:00:00,5.82,75.9
1/11/2022 0:00:00,2.71,75.76
1/11/2022 1:00:00,-0.35,75.69
1/11/2022 2:00:00,-2.64,75.58
1/11/2022 3:00:00,-3.63,75.43
1/11/2022 4:00:00,-4.64,75.33
1/11/2022 5:00:00,-5.03,75.83
1/11/2022 6:00:00,-4.64,74.64
1/11/2022 7:00:00,-4.3,74.57
1/11/2022 8:00:00,-3.51,73.38
1/11/2022 9:00:00,-3.26,60.78
1/11/2022 10:00:00,-0.19,56.48
1/11/2022 11:00:00,4.15,54.72
1/11/2022 12:00:00,6.52,54.12
1/11/2022 13:00:00,8.89,55.09
1/11/2022 14:00:00,11.7,55.83
1/11/2022 15:00:00,14.38,55.36
1/11/2022 16:00:00,15.4,56.61
1/11/2022 17:00:00,16.42,57.04
1/11/2022 18:00:00,17.72,57.36
1/11/2022 19:00:00,19,57.76
1/11/2022 20:00:00,19.83,58.87
1/11/2022 21:00:00,21.52,59.13
1/11/2022 22:00:00,23.57,59.41
