Date,Time,CP2.CHOAT,CCHWST,CCHWRT,CP2.CH1.M5,CP2.CH2.M10,CP2.CHWP1,CP2.CHWP2,CP2.CHWP3,CDWST,CDWRT,SQ1.CP2.CDWST.STPT,SQ1.CP2.CT2.SPD,SQ1.CP2.CT1.SPD,CP2.CNDP1,CP2.CNDP2
1/1/2022,00:00:00,40.09,62.13,61.73,0,0,0,0,0,50.4,59.86,47,20,20,0,0
1/1/2022,01:00:00,40.09,63.98,63.21,0,0,0,0,0,50.8,60.66,47,20,20,0,0
1/1/2022,02:00:00,40.09,65.84,64.5,0,0,0,0,0,51.2,61.46,47,20,20,0,0
1/1/2022,03:00:00,40.09,67.56,65.58,0,0,0,0,0,51.5,62.21,47,20,20,0,0
1/1/2022,04:00:00,40.09,69.36,66.47,0,0,0,0,0,51.8,62.9,47,20,20,0,0
1/1/2022,05:00:00,40.09,71.29,67.1,0,0,0,0,0,52,63.53,47,20,20,0,0
1/1/2022,06:00:00,40.09,72.66,67.6,0,0,0,0,0,52.3,64.15,47,20,20,0,0
1/1/2022,07:00:00,39.09,73.85,68.03,0,0,0,0,0,52.4,64.74,47,20,20,0,0
1/1/2022,08:00:00,37.08,51.83,60.18,0,0,1,0,0,46.6,57.39,47,91.1,91.1,1,0
1/1/2022,09:00:00,37.08,48.56,51.38,0,0,1,0,0,46.9,51.81,47,42.8,42.8,1,0
1/1/2022,10:00:00,38.09,48.56,51.24,0,0,1,0,0,47,51.75,47,42,42,1,0
1/1/2022,11:00:00,38.09,49.35,53.16,0,0,1,0,0,47.1,52.91,47,52.5,52.5,1,0
1/1/2022,12:00:00,37.08,49.01,52.66,0,0,1,0,0,46.9,52.57,47,46.7,46.7,1,0
1/1/2022,13:00:00,37.08,49.01,52.68,0,0,1,0,0,47,52.59,47,45.1,45.1,1,0
1/1/2022,14:00:00,37.08,48.75,52.48,0,0,1,0,0,46.9,52.39,47,45,45,1,0
1/1/2022,15:00:00,36.08,48.93,52.71,0,0,1,0,0,47.1,52.53,47,41.4,41.4,1,0
1/1/2022,16:00:00,36.08,49.08,52.73,0,0,1,0,0,47,52.66,47,40.7,40.7,1,0
1/1/2022,17:00:00,35.07,49.08,52.59,0,0,1,0,0,47.1,52.57,47,40,40,1,0
1/1/2022,18:00:00,34.05,48.88,52.5,0,0,1,0,0,46.8,52.56,47,40.8,40.8,1,0
1/1/2022,19:00:00,33.05,49.55,52.48,0,0,0,0,0,47.5,53.83,47,99.3,99.3,0,0
1/1/2022,20:00:00,31.02,51.71,53.16,0,0,0,0,0,48.9,55.23,47,99.3,99.3,0,0
1/1/2022,21:00:00,30.02,54.12,54.35,0,0,0,0,0,49.8,56.45,47,99.3,99.3,0,0
1/1/2022,22:00:00,29,56.35,55.85,0,0,0,0,0,50.6,57.51,47,99.3,99.3,0,0
1/1/2022,23:00:00,27.98,57.9,57.45,0,0,0,0,0,51.3,58.59,47,99.3,99.3,0,0
1/2/2022,00:00:00,26.96,60.42,59.03,0,0,0,0,0,52.1,59.56,47,99.3,99.3,0,0
1/2/2022,01:00:00,25.96,61.79,60.51,0,0,0,0,0,52.5,60.43,47,99.3,99.3,0,0
1/2/2022,02:00:00,25.96,63.86,61.84,0,0,0,0,0,52.9,61.31,47,99.3,99.3,0,0
1/2/2022,03:00:00,25.96,65.1,62.9,0,0,0,0,0,53.3,62.1,47,99.3,99.3,0,0
1/2/2022,04:00:00,24.93,67.15,63.95,0,0,0,0,0,53.7,62.86,47,99.3,99.3,0,0
1/2/2022,05:00:00,23.9,68.36,64.74,0,0,0,0,0,54,63.59,47,99.3,99.3,0,0
1/2/2022,06:00:00,21.89,69.81,65.26,0,0,0,0,0,54.4,64.25,47,99.3,99.3,0,0
1/2/2022,07:00:00,20.84,71.33,65.8,0,0,0,0,0,54.6,64.93,47,99.3,99.3,0,0
1/2/2022,08:00:00,19.82,72.3,66.21,0,0,0,0,0,55,65.56,47,99.3,99.3,0,0
1/2/2022,09:00:00,17.79,73.7,66.43,0,0,0,0,0,55.3,66.12,47,99.3,99.3,0,0
1/2/2022,10:00:00,17.79,55.81,62.61,0,0,0,1,0,51.5,59.94,47,33,33,0,1
1/2/2022,11:00:00,17.79,49.15,52.73,0,0,0,1,0,47,52.42,47,27,27,0,1
1/2/2022,12:00:00,17.79,48.84,52.17,0,0,0,1,0,47,52.01,47,24.7,24.7,0,1
1/2/2022,13:00:00,19.8,48.7,51.69,0,0,0,1,0,46.9,51.79,47,23.9,23.9,0,1
1/2/2022,14:00:00,20.81,48.68,51.83,0,0,0,1,0,46.9,51.71,47,24.9,24.9,0,1
1/2/2022,15:00:00,21.83,48.66,51.94,0,0,0,1,0,46.9,51.86,47,25,25,0,1
1/2/2022,16:00:00,20.82,48.88,52.19,0,0,0,1,0,47.1,52.02,47,25,25,0,1
1/2/2022,17:00:00,20.82,48.77,51.96,0,0,0,1,0,47,51.89,47,24.3,24.3,0,1
1/2/2022,18:00:00,19.82,48.7,52.17,0,0,0,1,0,47,51.87,47,23.6,23.6,0,1
1/2/2022,19:00:00,18.82,48.7,51.87,0,0,0,1,0,47,51.82,47,22.9,22.9,0,1
1/2/2022,20:00:00,17.8,48.54,51.42,0,0,0,0,0,47,52.25,47,20,20,0,0
